E-nummer,Internationalt navn,Dansk kaldenavn,Funktion,Risici,Forskningsafsnit,Link,Kilde
E401,Sodium alginate,Natriumalginat,Fortykningsmiddel og stabilisator,Ingen dokumenteret EU-specifik advarsel; vurderes sikkert inden for fastsat ADI.,"Del af EFSA's samlede 2017-genvurdering af E400-E404; intet numerisk ADI fundet nødvendigt, ingen sikkerhedsbekymring ved rapporteret brug.",https://www.efsa.europa.eu/en/efsajournal/pub/5049,"EFSA, 2017"
E402,Potassium alginate,Kaliumalginat,Fortykningsmiddel og stabilisator,Ingen dokumenteret EU-specifik advarsel; vurderes sikkert inden for fastsat ADI.,"Del af EFSA's samlede 2017-genvurdering af E400-E404; intet numerisk ADI fundet nødvendigt, ingen sikkerhedsbekymring ved rapporteret brug.",https://www.efsa.europa.eu/en/efsajournal/pub/5049,"EFSA, 2017"
E403,Ammonium alginate,Ammoniumalginat,Fortykningsmiddel og stabilisator,Ingen dokumenteret EU-specifik advarsel; vurderes sikkert inden for fastsat ADI.,"Del af EFSA's samlede 2017-genvurdering af E400-E404; intet numerisk ADI fundet nødvendigt, ingen sikkerhedsbekymring ved rapporteret brug.",https://www.efsa.europa.eu/en/efsajournal/pub/5049,"EFSA, 2017"
E404,Calcium alginate,Calciumalginat,Fortykningsmiddel og stabilisator,Ingen dokumenteret EU-specifik advarsel; vurderes sikkert inden for fastsat ADI.,"Del af EFSA's samlede 2017-genvurdering af E400-E404; intet numerisk ADI fundet nødvendigt, ingen sikkerhedsbekymring ved rapporteret brug.",https://www.efsa.europa.eu/en/efsajournal/pub/5049,"EFSA, 2017"
E405,"Propane-1,2-diol alginate","Propylenglycolalginat, PGA",Emulgator og stabilisator,Ingen dokumenteret EU-specifik advarsel; vurderes sikkert inden for fastsat ADI.,EFSA genvurderede E405 separat (2018) fra de øvrige alginater; ingen ny sikkerhedsbekymring identificeret ved rapporteret brug.,https://www.efsa.europa.eu/en/efsajournal/pub/5049,"EFSA, 2018"
E406,Agar,Agar-agar,Geleringsmiddel og stabilisator,Ingen dokumenteret EU-specifik advarsel; vurderes sikkert inden for fastsat ADI.,EFSA's genvurdering (2016) bekræftede et 'ikke specificeret' ADI som fastsat af Scientific Committee for Food i 1989; ingen nye sikkerhedsproblemer fundet.,https://efsa.onlinelibrary.wiley.com/doi/full/10.2903/j.efsa.2016.4645,"EFSA, 2016"
E407,Carrageenan,Carragenan,"Geleringsmiddel, fortykningsmiddel og stabilisator",EFSA advarer mod brug i modermælkserstatning fra fødslen; degraderet carrageenan (poligeenan) er ikke godkendt og mistænkes for at kunne irritere mave-tarmkanalen.,"EFSA's genvurdering i 2018 fastsatte et midlertidigt gruppe-ADI på 75 mg/kg kropsvægt/dag i afventning af yderligere data, og fastholdt at carrageenan ikke bør bruges i modermælkserstatning fra fødslen, mens begrænset brug i tilskuds- og overgangskost er tilladt.",https://efsa.onlinelibrary.wiley.com/doi/10.2903/j.efsa.2018.5238,"EFSA, 2018"
E407a,Processed eucheuma seaweed (PES),Forarbejdet euchema-tang,Geleringsmiddel og stabilisator,Ingen dokumenteret EU-specifik advarsel; vurderes sikkert inden for fastsat ADI.,Genvurderet sammen med carrageenan i EFSA's 2018-opinion; samme midlertidige gruppe-ADI på 75 mg/kg kropsvægt/dag gælder.,https://efsa.onlinelibrary.wiley.com/doi/10.2903/j.efsa.2018.5238,"EFSA, 2018"
E410,Locust bean gum,"Johannesbrødkernemel, carob-gummi",Fortykningsmiddel og stabilisator,Ingen dokumenteret EU-specifik advarsel; vurderes sikkert inden for fastsat ADI.,"EFSA's genvurdering konkluderede at der ikke var behov for et numerisk ADI, og at der ikke var sikkerhedsbekymring ved rapporteret brug.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7010100/,EFSA
E412,Guar gum,"Guarkernemel, guargummi",Fortykningsmiddel og stabilisator,Ingen dokumenteret EU-specifik advarsel; vurderes sikkert inden for fastsat ADI.,EFSA's genvurdering (2017) fandt ingen sikkerhedsbekymring ved rapporteret brug som fødevaretilsætningsstof.,https://efsa.onlinelibrary.wiley.com/doi/full/10.2903/j.efsa.2017.4669,"EFSA, 2017"
E413,Tragacanth,Tragantgummi,"Fortykningsmiddel, stabilisator og emulgator",Ingen dokumenteret EU-specifik advarsel; vurderes sikkert inden for fastsat ADI.,EFSA's genvurdering (2017) fandt ingen sikkerhedsbekymring ved rapporteret brug.,https://efsa.onlinelibrary.wiley.com/doi/10.2903/j.efsa.2017.4789,"EFSA, 2017"
E414,Acacia gum (gum arabic),"Akaciegummi, gummi arabicum",Emulgator og stabilisator,Ingen dokumenteret EU-specifik advarsel; vurderes sikkert inden for fastsat ADI.,"EFSA's genvurdering (2017/2019) fandt ingen sikkerhedsbekymring, herunder en opfølgende vurdering specifikt for brug i mad til spædbørn under 16 uger.",https://efsa.onlinelibrary.wiley.com/doi/10.2903/j.efsa.2019.5922,"EFSA, 2019"
E415,Xanthan gum,Xantangummi,Fortykningsmiddel og stabilisator,Ingen dokumenteret EU-specifik advarsel; vurderes sikkert inden for fastsat ADI.,EFSA's genvurdering (2017) fandt ingen sikkerhedsbekymring ved rapporteret brug.,https://efsa.onlinelibrary.wiley.com/doi/full/10.2903/j.efsa.2017.4909,"EFSA, 2017"
E416,Karaya gum,Karayagummi,Fortykningsmiddel og stabilisator,Ingen dokumenteret EU-specifik advarsel; vurderes sikkert inden for fastsat ADI.,"EFSA's genvurdering (2016) trak det tidligere ADI på 12,5 mg/kg kropsvægt/dag tilbage, da et numerisk ADI ikke vurderedes nødvendigt; ingen sikkerhedsbekymring fundet.",https://efsa.onlinelibrary.wiley.com/doi/full/10.2903/j.efsa.2016.4598,"EFSA, 2016"
E417,Tara gum,Taragummi,Fortykningsmiddel og stabilisator,Ingen dokumenteret EU-specifik advarsel; vurderes sikkert inden for fastsat ADI.,EFSA's genvurdering (2017) fandt ingen sikkerhedsbekymring ved rapporteret brug.,https://efsa.onlinelibrary.wiley.com/doi/10.2903/j.efsa.2017.4863,"EFSA, 2017"
E418,Gellan gum,Gellangummi,Geleringsmiddel og stabilisator,Ingen dokumenteret EU-specifik advarsel; vurderes sikkert inden for fastsat ADI.,Ingen særskilt forskningsomtale fundet.,https://food.ec.europa.eu/food-safety/food-improvement-agents/additives/eu-rules_en,"EU-Kommissionen, Forordning 1333/2008"
E420,Sorbitols,"Sorbitol, D-glucitol","Sødemiddel, fugtighedsbevarende middel og konsistensgiver, bruges bl.a. i sukkerfri tyggegummi og slik","Tilhører gruppen polyoler; ved indtag over 10 g pr. dag/over grænseværdien for tilsatte polyoler skal fødevaren mærkes med, at ""kan have afførende virkning ved større indtagelse"" (EU-krav for polyoler).",EFSA har i den løbende revurdering efterspurgt supplerende gentoksicitetsdata for sorbitol (E420(i)); ingen akut sikkerhedsbekymring rejst.,https://www.efsa.europa.eu/en/call/call-data-genotoxicity-data-sorbitol-e-420-i,EFSA / EU-Kommissionen (Forordning (EF) nr. 1333/2008)
E421,Mannitol,Mannitol,"Sødemiddel og klumpeforebyggende middel, bruges bl.a. i sukkerfrit slik og tyggegummi","Tilhører gruppen polyoler; fødevarer med over 10% tilsatte polyoler skal mærkes med, at det ""kan have afførende virkning ved større indtagelse"".",Ingen særskilt ny forskningsomtale fundet ud over den generelle polyol-revurdering.,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:32008R1333,"EU-Kommissionen (Forordning (EF) nr. 1333/2008, Bilag II og III)"
E422,Glycerol,"Glycerin, glycerol",Fugtighedsbevarende middel og opløsningsmiddel i bl.a. bagværk og konfekture,Ingen dokumenteret EU-specifik advarsel; vurderes sikkert inden for fastsat ADI.,"EFSA konkluderede ved revurdering i 2017/2023, at der ikke er sikkerhedsmæssige betænkeligheder ved anvendelsen af glycerol som tilsætningsstof.",https://www.efsa.europa.eu/en/efsajournal,"EFSA (Re-evaluation of glycerol, 2017; specifikationsændring 2023/1329)"
E423,Octenyl succinic acid modified gum arabic,OSA-modificeret gummi arabicum,"Emulgator, bruges bl.a. i drikkevarer med frugtsaft, energidrikke og glasurer",Ingen dokumenteret EU-specifik advarsel; vurderes sikkert inden for fastsat ADI.,"EFSA konkluderede, at anvendelsen som emulgator ved de foreslåede anvendelser ikke giver anledning til sikkerhedsmæssige betænkeligheder.",https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:32013R0817,"EU-Kommissionen, Forordning (EU) nr. 817/2013"
E425,"Konjac gum, konjac glucomannan","Konjak, konjakgummi","Konsistensgiver og stabilisator, bl.a. i konfekture og konjaknudler",Konjakgele-produkter (mini-cups) er forbudt i EU pga. kvælningsfare hos børn; selve tilsætningsstoffet vurderes sikkert inden for godkendt brug.,EFSA's revurdering (2017) af konjakgummi (E425(i)) og konjak-glucomannan (E425(ii)) fandt ingen sikkerhedsmæssige betænkeligheder ved de godkendte anvendelser.,https://efsa.onlinelibrary.wiley.com/doi/10.2903/j.efsa.2017.4864,"EFSA (Re-evaluation of konjac gum and konjac glucomannan, 2017)"
E426,Soybean hemicellulose,Sojabønne-hemicellulose,Stabilisator og emulgator i bl.a. drikkevarer og saucer,Ingen dokumenteret EU-specifik advarsel; vurderes sikkert inden for fastsat ADI.,EFSA's revurdering (2017) konkluderede ingen sikkerhedsmæssige betænkeligheder ved anvendelsen som tilsætningsstof.,https://www.efsa.europa.eu/en/efsajournal/pub/4721,"EFSA (Re-evaluation of soybean hemicellulose, 2017)"
E427,Cassia gum,Cassiagummi,"Konsistensgiver og stabilisator, bl.a. i kødprodukter og saucer",Ingen dokumenteret EU-specifik advarsel; vurderes sikkert inden for fastsat ADI.,Ingen særskilt forskningsomtale fundet ud over godkendelsesgrundlaget.,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:32008R1333,"EU-Kommissionen (Forordning (EF) nr. 1333/2008, Bilag II)"
E431,Polyoxyethylene (40) stearate,Polyoxyethylen(40)stearat,"Emulgator, bruges bl.a. i visse kosttilskud og specialfødevarer",Gruppe-ADI sammen med polysorbater fastsat af JECFA/SCF; ingen særskilt EU-advarsel ud over dette.,JECFA/SCF har fastsat gruppe-ADI for polyoxyethylenstearater og polysorbater; ingen ny sikkerhedsbekymring rejst.,https://www.legislation.gov.uk/eur/2008/1333/annex/II/2024-06-28,"EU-Kommissionen (Forordning (EF) nr. 1333/2008, Bilag II)"
E432,Polyoxyethylene sorbitan monolaurate (polysorbate 20),Polysorbat 20,"Emulgator, bruges i bl.a. konditorvarer og kosttilskud",Ingen dokumenteret EU-specifik advarsel; vurderes sikkert inden for fastsat ADI.,EFSA's revurdering af polysorbater (E432-E436) fandt en gruppe-ADI på 25 mg/kg kropsvægt/dag (JECFA) hhv. 10 mg/kg (SCF); ingen akut sikkerhedsbekymring.,https://proe.info/en/documents/evaluation-food-additives-e432-e433-e434-e435-and-e436,EFSA (Re-evaluation of polysorbates E432-E436)
E433,Polyoxyethylene sorbitan monooleate (polysorbate 80),Polysorbat 80,"Emulgator, bruges i bl.a. is, sauce og kosttilskud",Ingen dokumenteret EU-specifik advarsel; vurderes sikkert inden for fastsat ADI.,Samme EFSA-revurdering som for E432; gruppe-ADI på 25 mg/kg (JECFA) hhv. 10 mg/kg (SCF) kropsvægt/dag.,https://proe.info/en/documents/evaluation-food-additives-e432-e433-e434-e435-and-e436,EFSA (Re-evaluation of polysorbates E432-E436)
E434,Polyoxyethylene sorbitan monopalmitate (polysorbate 40),Polysorbat 40,"Emulgator, bruges bl.a. i bagværk og kosttilskud",Ingen dokumenteret EU-specifik advarsel; vurderes sikkert inden for fastsat ADI.,Samme EFSA-revurdering som for E432; gruppe-ADI på 25 mg/kg (JECFA) hhv. 10 mg/kg (SCF) kropsvægt/dag.,https://proe.info/en/documents/evaluation-food-additives-e432-e433-e434-e435-and-e436,EFSA (Re-evaluation of polysorbates E432-E436)
E435,Polyoxyethylene sorbitan monostearate (polysorbate 60),Polysorbat 60,"Emulgator, bruges bl.a. i konditorvarer og kosttilskud",Ingen dokumenteret EU-specifik advarsel; vurderes sikkert inden for fastsat ADI.,Samme EFSA-revurdering som for E432; gruppe-ADI på 25 mg/kg (JECFA) hhv. 10 mg/kg (SCF) kropsvægt/dag.,https://data.food.gov.uk/regulated-products/food_authorisations/e-435,EFSA (Re-evaluation of polysorbates E432-E436)
E436,Polyoxyethylene sorbitan tristearate (polysorbate 65),Polysorbat 65,"Emulgator, bruges bl.a. i konditorvarer",Ingen dokumenteret EU-specifik advarsel; vurderes sikkert inden for fastsat ADI.,Samme EFSA-revurdering som for E432; gruppe-ADI på 25 mg/kg (JECFA) hhv. 10 mg/kg (SCF) kropsvægt/dag.,https://proe.info/en/documents/evaluation-food-additives-e432-e433-e434-e435-and-e436,EFSA (Re-evaluation of polysorbates E432-E436)
E440,"Pectins (pectin, amidated pectin)","Pektin, amideret pektin","Geleringsmiddel og konsistensgiver, bl.a. i syltetøj og mejeriprodukter",Ingen dokumenteret EU-specifik advarsel; vurderes sikkert inden for fastsat ADI.,EFSA's revurdering af pektin (E440(i)) og amideret pektin (E440(ii)) fandt ingen sikkerhedsmæssige betænkeligheder ved de godkendte anvendelser.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7010145/,EFSA (Re-evaluation of pectin E440(i) and amidated pectin E440(ii))
E442,Ammonium phosphatides,Ammoniumphosphatider,"Emulgator, bruges primært i kakao- og chokoladeprodukter",Ingen dokumenteret EU-specifik advarsel; vurderes sikkert inden for fastsat ADI.,Ingen særskilt forskningsomtale fundet ud over godkendelsesgrundlaget.,https://www.legislation.gov.uk/eur/2008/1333/annex/II/2024-06-28,"EU-Kommissionen (Forordning (EF) nr. 1333/2008, Bilag II)"
E444,Sucrose acetate isobutyrate,Saccharoseacetatisobutyrat (SAIB),"Emulgator/vægtstabilisator, bruges til at holde smagsstoffer og olier suspenderet i læskedrikke",Ingen dokumenteret EU-specifik advarsel; vurderes sikkert inden for fastsat ADI.,Ingen særskilt forskningsomtale fundet ud over godkendelsesgrundlaget.,https://www.legislation.gov.uk/eur/2008/1333/annex/II/2024-06-28,"EU-Kommissionen (Forordning (EF) nr. 1333/2008, Bilag II)"
E445,Glycerol esters of wood rosin,Glycerolestere af trærosin,"Emulgator/vægtstabilisator, bruges til at holde smagsstoffer suspenderet i læskedrikke",Ingen dokumenteret EU-specifik advarsel; vurderes sikkert inden for fastsat ADI.,Ingen særskilt forskningsomtale fundet ud over godkendelsesgrundlaget.,https://www.legislation.gov.uk/eur/2008/1333/annex/II/2024-06-28,"EU-Kommissionen (Forordning (EF) nr. 1333/2008, Bilag II)"
E450,Diphosphates,Difosfater,Surhedsregulerende middel og stabilisator; bruges bl.a. i kød- og osteprodukter samt bagepulver til at binde vand og forbedre struktur.,Indgår i EFSA's samlede fosfat-ADI sammen med E338-343 og E451-452; høj indtagelse (især hos børn) kan i visse tilfælde overskride den fastsatte ADI.,"EFSA's videnskabelige udtalelse fra 2019 fastsatte en samlet gruppe-ADI for fosfater på 40 mg fosfor/kg kropsvægt/dag og pegede på, at spædbørn, småbørn og børn i høj-indtagsscenarier kan overskride denne ADI.",https://efsa.onlinelibrary.wiley.com/doi/10.2903/j.efsa.2019.5674,EFSA (2019)
E451,Triphosphates,Trifosfater,"Stabilisator og surhedsregulerende middel; anvendes til vandbinding i kød, fisk og mejeriprodukter.","Del af EFSA's samlede fosfat-ADI; høje indtag kan overskride den fastsatte grænse, især hos børn.","Samme 2019-genvurdering som for E450/E452: gruppe-ADI på 40 mg P/kg kropsvægt/dag, med bekymring for overskridelse hos følsomme grupper.",https://efsa.onlinelibrary.wiley.com/doi/10.2903/j.efsa.2019.5674,EFSA (2019)
E452,Polyphosphates,Polyfosfater,"Stabilisator, emulgator og surhedsregulerende middel; bruges i kød-, fiske- og osteprodukter samt til at forbedre teksturen i bagværk.","Del af EFSA's samlede fosfat-ADI; høje indtag kan overskride den fastsatte grænse, især hos børn.","Samme 2019-genvurdering som for E450/E451: gruppe-ADI på 40 mg P/kg kropsvægt/dag, med bekymring for overskridelse hos følsomme grupper.",https://efsa.onlinelibrary.wiley.com/doi/10.2903/j.efsa.2019.5674,EFSA (2019)
E456,Potassium polyaspartate,Kaliumpolyaspartat,Stabilisator; bruges udelukkende i vin til at forhindre udfældning af vinsten (tartratkrystaller).,Ingen dokumenteret EU-specifik advarsel; vurderes sikkert inden for fastsat ADI.,"EFSA vurderede i 2016, at der ikke var sikkerhedsmæssige betænkeligheder ved den foreslåede anvendelse i vin op til 300 mg/L.",https://food.ec.europa.eu/document/download/a9ae3e53-2504-4cc4-a5ed-2d9499ccb8ca_en,EFSA (2016) / EU-forordning 2017/1399
E459,Beta-cyclodextrin,Beta-cyklodextrin,"Stabilisator, bærestof og indkapslingsmiddel for aromastoffer og andre ingredienser.",Ingen dokumenteret EU-specifik advarsel; vurderes sikkert inden for fastsat ADI.,EFSA's genvurdering i 2016 bekræftede sikkerheden ved nuværende brug og fastsatte ikke behov for en numerisk ADI.,https://efsa.onlinelibrary.wiley.com/doi/10.2903/j.efsa.2016.4628,EFSA (2016)
E460,"Cellulose, mikrokrystallinsk cellulose, pulvercellulose",,"Fyldstof, antiklumpningsmiddel og stabilisator; bruges bl.a. i revet ost, kosttilskud og bagværk.",Ingen dokumenteret EU-specifik advarsel; vurderes sikkert inden for fastsat ADI.,EFSA's 2019-genvurdering af cellulosegruppen (E460-469) bekræftede generelt sikkerheden ved nuværende brug.,https://pmc.ncbi.nlm.nih.gov/articles/PMC7009359/,EFSA (2019)
E461,Methyl cellulose,Methylcellulose,"Fortykningsmiddel, stabilisator og emulgator; bruges bl.a. i saucer, bagværk og vegetariske produkter.",Ingen dokumenteret EU-specifik advarsel; vurderes sikkert inden for fastsat ADI.,Indgik i EFSA's samlede genvurdering af celluloser (E460-469) i 2019 uden nye sikkerhedsbekymringer.,https://pmc.ncbi.nlm.nih.gov/articles/PMC7009359/,EFSA (2019)
E462,Ethyl cellulose,Ethylcellulose,Bærestof og overtræksmiddel; bruges bl.a. til at indkapsle aromastoffer og vitaminer.,Ingen dokumenteret EU-specifik advarsel; vurderes sikkert inden for fastsat ADI.,Indgik i EFSA's samlede genvurdering af celluloser (E460-469) i 2019 uden nye sikkerhedsbekymringer.,https://pmc.ncbi.nlm.nih.gov/articles/PMC7009359/,EFSA (2019)
E463,Hydroxypropyl cellulose,Hydroxypropylcellulose,"Fortykningsmiddel, stabilisator og overtræksmiddel; bruges bl.a. i kosttilskud og bagværk.",Ingen dokumenteret EU-specifik advarsel; vurderes sikkert inden for fastsat ADI.,Indgik i EFSA's samlede genvurdering af celluloser (E460-469) i 2019 uden nye sikkerhedsbekymringer.,https://pmc.ncbi.nlm.nih.gov/articles/PMC7009359/,EFSA (2019)
E464,Hydroxypropyl methyl cellulose,Hydroxypropylmethylcellulose (HPMC),"Fortykningsmiddel, stabilisator og emulgator; bruges bl.a. i kapsler, bagværk og lavfedt-produkter.",Ingen dokumenteret EU-specifik advarsel; vurderes sikkert inden for fastsat ADI.,Indgik i EFSA's samlede genvurdering af celluloser (E460-469) i 2019 uden nye sikkerhedsbekymringer.,https://pmc.ncbi.nlm.nih.gov/articles/PMC7009359/,EFSA (2019)
E465,Ethyl methyl cellulose,Ethylmethylcellulose,"Emulgator, stabilisator og skummiddel.",Ingen dokumenteret EU-specifik advarsel; vurderes sikkert inden for fastsat ADI.,Indgik i EFSA's samlede genvurdering af celluloser (E460-469) i 2019 uden nye sikkerhedsbekymringer.,https://pmc.ncbi.nlm.nih.gov/articles/PMC7009359/,EFSA (2019)
E466,Sodium carboxymethyl cellulose,"Natriumcarboxymethylcellulose, cellulosegummi","Fortykningsmiddel, stabilisator og emulgator; udbredt i saucer, is, bagværk og lavfedt-produkter.",Ikke tilstrækkelige data til at vurdere sikkerheden ved brug i specialfødevarer til spædbørn og småbørn (6 måneder til 3 år); anvendes ikke i mad til spædbørn under 16 uger.,"EFSA's genvurdering i 2018/2022 anbefalede lavere grænseværdier for tungmetaller (arsen, bly, cadmium, kviksølv) i specifikationerne, da faktiske niveauer er langt under de nuværende grænser.",https://pmc.ncbi.nlm.nih.gov/articles/PMC9732683/,EFSA (2018/2022)
E468,Crosslinked sodium carboxymethyl cellulose,Tværbundet natriumcarboxymethylcellulose,Stabilisator og fortykningsmiddel; bruges bl.a. i kosttilskudstabletter.,Ingen dokumenteret EU-specifik advarsel; vurderes sikkert inden for fastsat ADI.,Indgik i EFSA's samlede genvurdering af celluloser (E460-469) i 2019 uden nye sikkerhedsbekymringer.,https://pmc.ncbi.nlm.nih.gov/articles/PMC7009359/,EFSA (2019)
E469,Enzymatically hydrolysed carboxymethylcellulose,Enzymatisk hydrolyseret carboxymethylcellulose,Stabilisator og emulgator.,Ingen dokumenteret EU-specifik advarsel; vurderes sikkert inden for fastsat ADI.,Indgik i EFSA's samlede genvurdering af celluloser (E460-469) i 2019 uden nye sikkerhedsbekymringer.,https://pmc.ncbi.nlm.nih.gov/articles/PMC7009359/,EFSA (2019)
E470a,Sodium potassium and calcium salts of fatty acids,"Natrium-, kalium- og calciumsalte af fedtsyrer",Emulgeringsmiddel/stabilisator,Ingen dokumenteret EU-specifik advarsel; vurderes sikkert inden for fastsat ADI.,Ingen særskilt forskningsomtale fundet.,https://www.food.gov.uk/business-guidance/approved-additives-and-e-numbers,"UK Food Standards Agency (baseret på EU-forordning 1333/2008), 2024"
E470b,Magnesium salts of fatty acids,Magnesiumsalte af fedtsyrer,Emulgeringsmiddel/stabilisator,Ingen dokumenteret EU-specifik advarsel; vurderes sikkert inden for fastsat ADI.,Ingen særskilt forskningsomtale fundet.,https://dk.openfoodfacts.org/additive/da:e470b-magnesiumsalte-af-fedtsyrer,Open Food Facts / EU-forordning 1333/2008
E471,Mono- and diglycerides of fatty acids,Mono- og diglycerider af fedtsyrer,Emulgeringsmiddel,Ingen dokumenteret EU-specifik advarsel; vurderes sikkert inden for fastsat ADI.,"EFSA genvurderede E471 i 2017 og igen i 2021 (spædbørn under 16 uger) uden at rejse generel sikkerhedsbekymring. Uafhængig forskning (bl.a. in vitro-studier omkring 2020) har undersøgt emulgatorers, herunder glycerol-baserede, effekt på tarmens mikrobiota, men dette er ikke en officiel EFSA-konklusion for E471.",https://efsa.onlinelibrary.wiley.com/doi/10.2903/j.efsa.2021.6885,"EFSA Journal, 2021"
E472a,Acetic acid esters of mono- and diglycerides of fatty acids,Eddikesyreestere af mono- og diglycerider af fedtsyrer,Emulgeringsmiddel,Ingen dokumenteret EU-specifik advarsel; vurderes sikkert inden for fastsat ADI.,Ingen særskilt forskningsomtale fundet.,https://www.food.gov.uk/business-guidance/approved-additives-and-e-numbers,UK FSA / EU-forordning 1333/2008
E472b,Lactic acid esters of mono- and diglycerides of fatty acids,Mælkesyreestere af mono- og diglycerider af fedtsyrer,Emulgeringsmiddel,Ingen dokumenteret EU-specifik advarsel; vurderes sikkert inden for fastsat ADI.,Ingen særskilt forskningsomtale fundet.,https://www.food.gov.uk/business-guidance/approved-additives-and-e-numbers,UK FSA / EU-forordning 1333/2008
E472c,Citric acid esters of mono- and diglycerides of fatty acids,Citronsyreestere af mono- og diglycerider af fedtsyrer,Emulgeringsmiddel,Ingen dokumenteret EU-specifik advarsel; vurderes sikkert inden for fastsat ADI.,Ingen særskilt forskningsomtale fundet.,https://www.food.gov.uk/business-guidance/approved-additives-and-e-numbers,UK FSA / EU-forordning 1333/2008
E472d,Tartaric acid esters of mono- and diglycerides of fatty acids,Vinsyreestere af mono- og diglycerider af fedtsyrer,Emulgeringsmiddel,Ingen dokumenteret EU-specifik advarsel; vurderes sikkert inden for fastsat ADI.,Ingen særskilt forskningsomtale fundet.,https://www.food.gov.uk/business-guidance/approved-additives-and-e-numbers,UK FSA / EU-forordning 1333/2008
E472e,Mono- and diacetyltartaric acid esters of mono- and diglycerides of fatty acids,"DATEM, Diacetylvinsyreestere af mono- og diglycerider af fedtsyrer",Emulgeringsmiddel (typisk i brød og bagværk),Ingen dokumenteret EU-specifik advarsel; vurderes sikkert inden for fastsat ADI.,Ingen særskilt forskningsomtale fundet.,https://en.wikipedia.org/wiki/DATEM,EU-forordning 1333/2008
E472f,Mixed acetic and tartaric acid esters of mono- and diglycerides of fatty acids,Blandede eddike- og vinsyreestere af mono- og diglycerider af fedtsyrer,Emulgeringsmiddel,Ingen dokumenteret EU-specifik advarsel; vurderes sikkert inden for fastsat ADI.,Ingen særskilt forskningsomtale fundet.,https://www.food.gov.uk/business-guidance/approved-additives-and-e-numbers,UK FSA / EU-forordning 1333/2008
E473,Sucrose esters of fatty acids,Sukkerestere af fedtsyrer,Emulgeringsmiddel,Ingen dokumenteret EU-specifik advarsel; vurderes sikkert inden for fastsat ADI (gruppe-ADI 40 mg/kg legemsvægt/dag sammen med E474).,"EFSA-vurderinger (2010, 2012, 2018, 2023) har flere gange peget på, at eksponeringen for visse befolkningsgrupper kan overstige ADI ved høje indtag, hvilket førte til gentagne genvurderinger og opfølgning for spædbørn under 16 uger.",https://efsa.onlinelibrary.wiley.com/doi/10.2903/j.efsa.2023.7961,"EFSA Journal, 2023"
E474,Sucroglycerides,Sukroglycerider,Emulgeringsmiddel,Ingen dokumenteret EU-specifik advarsel; vurderes sikkert inden for fastsat ADI (gruppe-ADI 40 mg/kg legemsvægt/dag sammen med E473).,Ingen særskilt forskningsomtale fundet ud over gruppevurderingen med E473.,https://www.efsa.europa.eu/en/efsajournal/pub/5087,"EFSA Journal, 2018"
E475,Polyglycerol esters of fatty acids,Polyglycerolestere af fedtsyrer,Emulgeringsmiddel,Ingen dokumenteret EU-specifik advarsel; vurderes sikkert inden for fastsat ADI (EFSA fandt i 2017 ikke behov for en numerisk ADI).,"EFSA konkluderede i 2017, at stoffet hurtigt og næsten fuldstændigt hydrolyseres i mave-tarmkanalen, og at der ikke er set skadevirkninger i kortvarige eller kroniske toksicitetsstudier. En opfølgning i 2022 skærpede grænseværdier for tungmetaller (arsen, bly, kviksølv, cadmium) i specifikationen.",https://www.efsa.europa.eu/en/efsajournal/pub/5089,"EFSA Journal, 2017"
E476,Polyglycerol polyricinoleate,Polyglycerolpolyricinoleat (PGPR),"Emulgeringsmiddel (bl.a. i chokolade, reducerer kakaosmørindhold)",Ingen dokumenteret EU-specifik advarsel; vurderes sikkert inden for fastsat ADI.,EFSA genvurderede E476 i 2017 og fulgte op igen for at afklare resterende datahuller om sammensætning og specifikationer.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9066526/,"EFSA Journal, 2022 (opfølgning)"
E477,"Propane-1,2-diol esters of fatty acids",Propylenglycolestere af fedtsyrer,Emulgeringsmiddel,Ingen dokumenteret EU-specifik advarsel; vurderes sikkert inden for fastsat ADI.,Ingen særskilt forskningsomtale fundet.,https://www.food.gov.uk/business-guidance/approved-additives-and-e-numbers,UK FSA / EU-forordning 1333/2008
E479b,Thermally oxidised soya bean oil interacted with mono- and di-glycerides of fatty acids,Termisk oxideret sojabønneolie i vekselvirkning med mono- og diglycerider af fedtsyrer,Emulgeringsmiddel (kun godkendt til stegning/frituremargarine),"Ingen dokumenteret EU-specifik advarsel; vurderes sikkert inden for fastsat ADI, men anvendelsen er snævert afgrænset til specifikke fedtprodukter.",Ingen særskilt forskningsomtale fundet.,https://www.food.gov.uk/business-guidance/approved-additives-and-e-numbers,UK FSA / EU-forordning 1333/2008
E481,Sodium stearoyl-2-lactylate,Natriumstearoyl-2-lactylat,Emulgeringsmiddel/dejforbedrer,Ingen dokumenteret EU-specifik advarsel; ADI blev i 2013 hævet af EFSA til 22 mg/kg legemsvægt/dag (fælles for E481 og E482).,EFSA genvurderede E481 og E482 i 2013 og hævede ADI'en efter gennemgang af nyere toksikologiske data.,https://www.efsa.europa.eu/en/efsajournal/pub/3144,"EFSA Journal, 2013"
